priority,blocker_type,status_type,code,market,lifecycle_gap_status,target_groups,active_like_rows,release_like_rows,manifest_source,manifest_status,unknown_market_target,suggested_source,required_evidence,collection_status,order_intent_generated,notes
2,release_resume_evidence,managed_issue,001770,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,001840,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,002410,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,005030,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,005110,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,006490,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,008290,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,008600,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,009440,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,011000,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,011810,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,015020,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,016790,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,017040,KOSPI,missing_release_resume_evidence,1,2,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,019490,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,023440,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,024830,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,030350,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,031860,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,032685,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,032960,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,036420,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,036690,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,041590,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,043090,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,043100,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,043220,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,044180,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,046070,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,049180,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,052770,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,054180,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,060240,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,064090,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,065150,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,065570,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,066410,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,066790,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,066900,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,068240,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,068940,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,069460,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,069920,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,073190,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,073570,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,073640,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,079950,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,079970,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,080720,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,082660,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,088290,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,096610,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,099520,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,106080,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,121800,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,121850,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,145210,KOSPI,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,175250,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,180400,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,182400,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,183490,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,195990,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,196300,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,196490,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,203690,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,214610,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,217480,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,219550,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,222160,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,234920,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,241820,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
2,release_resume_evidence,managed_issue,244460,KOSDAQ,missing_release_resume_evidence,1,1,0,krx_data_marketplace;kind;manual_snapshot,requires_filled_manifest,false,krx_data_marketplace;kind;manual_snapshot,"official release/resume, cleared, delisting withdrawal, or other dated inactive-state evidence for this code/status group",pending_release_resume_evidence,false,release_resume_collection_target
